1,1,713,532,141
1,1,493,647,5
1,1,978,354,5
1,1,618,94,5
1,1,597,99,14
1,1,733,564,5
1,1,655,564,5
1,1,1046,522,5
1,1,1112,741,5
1,1,1299,792,5
1,2,857,713,5
1,2,1069,588,5
1,2,974,715,5
1,2,1069,645,5
1,2,1091,641,5
1,2,1100,598,5
1,2,1224,557,99
1,2,885,467,14
1,2,910,337,2
1,2,410,918,13
1,3,865,599,10
1,3,1115,636,6
1,4,1043,279,5
1,4,993,270,5
1,4,960,255,5
1,4,964,293,5
1,4,1307,308,5
1,4,269,218,5
1,4,700,937,5
1,4,215,852,5
1,4,647,1079,5
1,4,330,1095,5
1,4,879,166,5
1,4,640,187,5
1,4,618,228,5
1,4,624,248,5
1,4,550,324,5
1,4,778,156,5
1,4,582,273,5
1,4,209,317,5
1,4,301,571,5
1,4,540,179,5
1,4,392,170,5
1,4,386,214,5
2,1,570,805,16
2,1,669,685,20
2,1,811,733,48
2,1,895,700,5
2,1,1054,716,5
2,1,622,307,5
2,1,989,758,5
2,1,1167,522,25
2,2,882,504,22
2,2,915,587,39
2,2,927,327,38
2,3,288,624,105
2,3,1004,781,6
2,3,651,599,22
2,3,696,586,11
2,3,695,628,12
2,3,595,509,27
2,3,617,541,8
2,3,563,600,8
2,3,549,534,30
2,3,665,490,9
2,4,424,248,5
2,4,863,626,5
2,4,1104,1046,5
2,4,269,217,5
3,1,445,358,53
3,1,364,399,66
3,1,306,585,18
3,1,706,721,5
3,1,802,596,5
3,1,522,773,5
3,1,465,845,39
3,1,345,1039,5
3,1,260,968,5
3,1,351,970,5
3,1,808,1049,5
3,1,456,1049,32
3,1,899,719,5
3,1,754,816,5
3,1,674,342,5
3,1,464,100,63
3,1,601,20,26
3,1,665,129,57
3,1,798,104,5
3,1,1185,151,5
3,1,1271,301,5
3,1,1164,949,5
3,1,1149,963,5
3,1,1285,983,17
3,1,1308,858,32
3,1,1254,1013,23
3,1,324,815,5
3,2,1114,527,126
3,2,704,881,10
3,2,811,917,101
3,2,913,1046,46
3,2,1055,895,16
3,2,1150,1111,22
3,2,742,55,12
3,2,651,506,105
3,2,770,383,55
3,2,757,363,7
3,2,566,810,40
3,2,1254,220,28
3,2,746,583,33
3,3,493,505,16
3,3,463,457,28
3,3,432,490,14
3,3,438,775,19
3,4,470,282,5
3,4,368,312,5
3,4,419,152,5
3,4,1217,56,5
3,4,1252,287,5
3,4,1379,567,5
3,4,705,736,5
4,1,1020,246,41
4,1,1326,334,54
4,1,630,768,41
4,1,797,678,64
4,1,679,585,101
4,1,768,819,72
4,1,522,681,77
4,1,843,588,95
4,1,1249,684,33
4,1,1102,923,23
4,1,560,775,39
4,1,841,427,5
4,1,795,375,5
4,1,990,497,5
4,1,939,517,5
4,1,853,387,24
4,1,166,304,37
4,1,516,71,20
4,1,493,167,5
4,1,482,149,5
4,1,510,105,5
4,1,543,78,5
4,1,377,157,5
4,1,326,228,5
